product_id,product_name,product_category_name
4715eb4e21b1833327567e8c62ce5790,Arroz (1 kg),alimentos
ab1106e227a745836a0dc83b374e2575,Feijão (500g),alimentos
fd0c762860528d119344e1377b574fc5,Óleo de cozinha (1L),alimentos
ed2067a9c1f79553088a3c67b99a9f97,Açúcar (1 kg),alimentos
432357855585cf634fc9923523ce5e4a,Pão francês,alimentos
f0c1c1d5ec61ce4c4846abd4283631df,Leite,alimentos
378bb6601c068c842ca65be6c5e45ccd,Ovos - 1 dúzia,alimentos
53d71d8d9d6878f6f0b9fe0ed79445d5,Batatas - 1 Kg,alimentos
f70dd37d94cc7026ca198b9d7574c7bc,Refrigerante (2L),alimentos_bebidas
779e74ce337266c06bf392935ab34bc8,Cerveja (lata),alimentos_bebidas
3ead2a8b3b92444cfac54979d56c7993,Vinho tinto,alimentos_bebidas
1b0e9a414e59a00b13262ffb248ed9b4,Suco de laranja (1L),alimentos_bebidas
2b7bb91ceee2bfa598986638fb136ba4,Água mineral,alimentos_bebidas
eeab31cd2a4bcd64e6b249e0a674b3a8,Chá verde 50uds,alimentos_bebidas
bcfc64e7adc6e1ce2030d71e1af79a3e,Cappuccino 20uds,alimentos_bebidas
4fe644d766c7566dbc46fb851363cb3b,Tela para pintura,artes
76397820b3556e99a4a2e3056eca24e5,Pincel de aquarela,artes
d62ed986672bfab13938e62e6badec55,Lápis de cor - 1 conjunto,artes
ab44178963b4bf809adc477810f9175d,Enfeite de Natal,artigos_de_natal
f59871b3d9da4c64cbe41ad3dd04dc14,Guirlanda de Natal,artigos_de_natal
0d9f729c5dea994b9072004fd2656cc3,Fone de ouvido 50ml,audio
6eb70dfb283dc3f645ed7b03c990dc72,Caixa de som Bluetooth,audio
2669a9fe1aaf6cb29071f8f866014afc,Microfone condensador,audio
77d86f9e64c28aa93e3d46f4047646d7,Óleo para motor,automotivo
5a6849f9db912b68be72145d959d61d2,Pastilhas de freio,automotivo
47cad419b0ad5dc9d2305bf795c3c16f,Filtro de ar,automotivo
2e0a1c70d32cd53538dba96b8cae229b,Pneu,automotivo
9fab8bd1f9c69cf2301b8ad3bec47480,Bateria 6,automotivo
dfb97c88e066dc22165f31648efe1312,Limpador de para-brisa,automotivo
f4f67ccaece962d013a4e1d7dc3a61f7,Aditivo de combustível,automotivo
ea1d9847778160f2d0c74950812fd8d0,Aditivo de transmissão,automotivo
bd0ac51dc93e62c4dbe6ca9d70a9b311,Aditivo de direção,automotivo
41f5f13f79496717b1d90ef30551333b,Aditivo de arrefecimento,automotivo
0011c512eb256aa0dbbb544d8dffcf6e,Aditivo de embreagem,automotivo
a50acd33ba7a8da8e9db65094fa990a4,Cera automotiva,automotivo
5cb678a06e40c3a2e49564fd664dac70,Limpador de faróis,automotivo
22c7191da97262f0f39de80e1951dce2,Óleo de câmbio,automotivo
2362d3d1782889c8759aa6ace2c73aad,Fluido de embreagem,automotivo
a91c1a94d83d36316c44e00e738607b1,Fluido de freio,automotivo
b3793f4676bdf327ca34c40d236ee2b2,Fluido de arrefecimento,automotivo
e6e3140cdd035e915d6d4a9eae2ccead,Fluido de direção hidráulica,automotivo
40678c9096047877fa74a25cc6f0a726,Óleo de diferencial,automotivo
803f77475e1b51b47f1bfec4f2ec353f,Fluido de travão,automotivo
401717fdb76bea40aad511f64ab03c92,Fluido de embraiagem,automotivo
29e4631be78811ab993ae12613053b53,Aditivo de combustível diesel,automotivo
7f457254a89d62960399e075711b3deb,Aditivo de limpeza de bico injetor,automotivo
0c9ff9d8ed9b9bdd825487b3a66e05f5,Aditivo de limpeza de motor,automotivo
afc5c69b96f8f284a0eb2784e9f963b9,Aditivo de limpeza de sistema de arrefecimento,automotivo
a41d69926dcf58caff228aa637ffea2f,Aditivo de limpeza de sistema de combustível,automotivo
f59ff3f667dc8dc2b42117736585c1ba,Aditivo de limpeza de sistema de injeção,automotivo
76f520fa5e8912001989fa3fd6530d94,Aditivo de limpeza de sistema de transmissão,automotivo
cae8c962ad47ff05a508e6fec4146e1a,Aditivo de limpeza de sistema de freios,automotivo
fd424396761d9e1609c5516b7d8ce17b,Aditivo de limpeza de sistema de ar condicionado,automotivo
ca06834d20745807bfae7f2184f67df8,Aditivo de limpeza de sistema de combustível a gasolina,automotivo
